boystownUSA ,30,5,3/31/20 9:30,1
Vpipe21 ,30,6,3/31/20 9:39,3
Individual: th2718 ,30,1,3/31/20 9:48,8
gamers ,30,2,3/31/20 9:52,10
Individual: yrm2106 ,30,1,3/31/20 10:01,11
Individual: mic2136 ,30,1,3/31/20 10:05,13
Individual: asp2199 ,30,1,3/31/20 10:09,14
Housing2020 ,30,6,3/31/20 10:13,15
ajust2021 ,30,5,3/31/20 10:22,17
SEAS Pastry ,30,4,3/31/20 10:31,21
Individual: lc3270 ,30,1,3/31/20 10:40,22
Individual: yw3472 ,30,1,3/31/20 10:44,26
TITAN! ,30,5,3/31/20 10:48,28
EC Suite ,30,2,3/31/20 10:57,29
Avilucho ,30,2,3/31/20 11:06,30
SuiteLife ,30,6,3/31/20 11:15,33
RAMMMY ,30,2,3/31/20 11:24,34
Individual: jj2816 ,30,1,3/31/20 11:33,35
Jazz Bous ,30,5,3/31/20 11:37,37
Individual: bw2550 ,30,1,3/31/20 11:46,38
jjsforever ,30,2,3/31/20 11:50,41
Banana ,30,6,3/31/20 11:59,42
Individual: jal2305 ,30,1,3/31/20 12:08,43
DidYouRunItWithValgrin d ,30,4,3/31/20 12:12,47
Sorority Seniors ,30,10,3/31/20 12:21,52
Individual: imf2118 ,30,1,3/31/20 12:30,54
Shells ,30,2,3/31/20 12:34,57
Individual: bmr2153 ,30,1,3/31/20 12:43,58
Individual: jac2391 ,30,1,3/31/20 12:47,59
weissambrocio ,30,2,3/31/20 12:51,63
Individual: rdp2127 ,30,1,3/31/20 13:00,64
Nicole and Caroline ,30,2,3/31/20 13:04,65
TEAM ND ,30,6,3/31/20 13:13,68
weareold ,30,5,3/31/20 13:22,69
Individual: dll2136 ,30,1,3/31/20 13:31,70
the brownies ,30,4,3/31/20 13:35,73
Papist Pad ,30,2,3/31/20 13:44,77
Individual: lsc2157 ,30,1,3/31/20 13:53,78
Ruffleshehe ,30,5,3/31/20 13:57,79
beta fish fight club ,30,5,3/31/20 14:06,80
Brothas of John Jay ,30,3,3/31/20 14:15,82
wushuplusone ,30,4,3/31/20 14:24,84
goodhousingnumber ,30,2,3/31/20 14:33,85
Individual: emm2293 ,30,1,3/31/20 14:42,86
tik tok hype house ,30,6,3/31/20 14:46,87
Individual: sr3460 ,30,1,3/31/20 14:55,89
bum bum tam tam ,30,2,3/31/20 14:59,90
townhousebabes ,30,6,3/31/20 15:08,94
PPPPC ,30,6,3/31/20 15:17,97
abrett ,30,2,3/31/20 15:26,100
Martineli Baller Getacastro EC BOYZ ,30,6,3/31/20 15:35,110
Individual: ccb2167 ,30,1,3/31/20 15:44,113
YEETSenioRYear ,30,2,3/31/20 15:48,114
Individual: ncp2132 ,30,1,3/31/20 15:57,115
Individual: ojk2107 ,30,1,3/31/20 16:01,118
Individual: az2492 ,30,1,3/31/20 16:05,122
Individual: sy2642 ,30,1,3/31/20 16:09,124
hello ,30,2,3/31/20 16:13,125
CJDBC ,30,5,3/31/20 16:22,126
benanddiana ,30,2,4/1/20 9:00,127
Individual: img2137 ,30,1,4/1/20 9:09,130
Individual: rj2518 ,30,1,4/1/20 9:13,132
Individual: jmb2414 ,30,1,4/1/20 9:17,133
Day 1s ,30,4,4/1/20 9:21,134
Individual: mjv2143 ,30,1,4/1/20 9:30,136
MolotovRibbentrop ,30,2,4/1/20 9:34,143
Toshiba EM925A5A-SS Microwave Oven with ECO Mode ,30,4,4/1/20 9:43,144
Individual: nja2135 ,30,1,4/1/20 9:52,145
404NotFound ,30,2,4/1/20 9:56,146
Gay_4_Lykke ,30,2,4/1/20 10:05,148
Individual: WITHHELD ,30,1,4/1/20 10:14,149
HousingGroup ,30,6,4/1/20 10:18,150
THE BEST HOUSING GROUP EVER ,30,6,4/1/20 10:27,156
Abu Calypse ,30,4,4/1/20 10:36,158
squad ,30,4,4/1/20 10:45,161
BeeKnee ,30,7,4/1/20 10:54,162
BaddiesOfEC ,30,10,4/1/20 11:03,163
thehunted ,30,2,4/1/20 11:12,164
Individual: mnc2136 ,30,1,4/1/20 11:21,167
Fancy Feast ,30,5,4/1/20 11:25,168
Vive la EC ,30,6,4/1/20 11:34,170
Wherever's Finest ,30,6,4/1/20 11:43,181
Just not broadway again ,30,6,4/1/20 11:52,183
Guillelee ,30,2,4/1/20 12:01,184
cupcakering ,30,10,4/1/20 12:10,185
Felix John ,30,2,4/1/20 12:19,186
Individual: og2215 ,30,1,4/1/20 12:28,191
Ivy&Cat ,30,2,4/1/20 12:32,192
claudia and salome ,30,2,4/1/20 12:41,194
Michael Jason Justin ,30,3,4/1/20 12:50,195
Individual: cml2233 ,30,1,4/1/20 12:59,200
Rock Lamp ,30,5,4/1/20 13:03,201
SephardiPragmatism ,30,6,4/1/20 13:12,203
GLLLTBOW ,30,6,4/1/20 13:21,210
C&R Homely Suite ,30,2,4/1/20 13:30,214
Zamaan so far ,30,2,4/1/20 13:39,216
